"GEO_ID","id",
"NAME","Geographic Area Name",
"B17021_001E","Estimate!!Total",
"B17021_001M","Margin of Error!!Total",
"B17021_002E","Estimate!!Total!!Income in the past 12 months below poverty level",
"B17021_002M","Margin of Error!!Total!!Income in the past 12 months below poverty level",
"B17021_003E","Estimate!!Total!!Income in the past 12 months below poverty level!!In family households",
"B17021_003M","Margin of Error!!Total!!Income in the past 12 months below poverty level!!In family households",
"B17021_004E","Estimate!!Total!!Income in the past 12 months below poverty level!!In family households!!In married couple families",
"B17021_004M","Margin of Error!!Total!!Income in the past 12 months below poverty level!!In family households!!In married couple families",
"B17021_005E","Estimate!!Total!!Income in the past 12 months below poverty level!!In family households!!In married couple families!!All relatives",
"B17021_005M","Margin of Error!!Total!!Income in the past 12 months below poverty level!!In family households!!In married couple families!!All relatives",
"B17021_006E","Estimate!!Total!!Income in the past 12 months below poverty level!!In family households!!In married couple families!!Non-relatives",
"B17021_006M","Margin of Error!!Total!!Income in the past 12 months below poverty level!!In family households!!In married couple families!!Non-relatives",
"B17021_007E","Estimate!!Total!!Income in the past 12 months below poverty level!!In family households!!In other families",
"B17021_007M","Margin of Error!!Total!!Income in the past 12 months below poverty level!!In family households!!In other families",
"B17021_008E","Estimate!!Total!!Income in the past 12 months below poverty level!!In family households!!In other families!!Male householder, no wife present",
"B17021_008M","Margin of Error!!Total!!Income in the past 12 months below poverty level!!In family households!!In other families!!Male householder, no wife present",
"B17021_009E","Estimate!!Total!!Income in the past 12 months below poverty level!!In family households!!In other families!!Male householder, no wife present!!All relatives",
"B17021_009M","Margin of Error!!Total!!Income in the past 12 months below poverty level!!In family households!!In other families!!Male householder, no wife present!!All relatives",
"B17021_010E","Estimate!!Total!!Income in the past 12 months below poverty level!!In family households!!In other families!!Male householder, no wife present!!Non-relatives",
"B17021_010M","Margin of Error!!Total!!Income in the past 12 months below poverty level!!In family households!!In other families!!Male householder, no wife present!!Non-relatives",
"B17021_011E","Estimate!!Total!!Income in the past 12 months below poverty level!!In family households!!In other families!!Female householder, no husband present",
"B17021_011M","Margin of Error!!Total!!Income in the past 12 months below poverty level!!In family households!!In other families!!Female householder, no husband present",
"B17021_012E","Estimate!!Total!!Income in the past 12 months below poverty level!!In family households!!In other families!!Female householder, no husband present!!All relatives",
"B17021_012M","Margin of Error!!Total!!Income in the past 12 months below poverty level!!In family households!!In other families!!Female householder, no husband present!!All relatives",
"B17021_013E","Estimate!!Total!!Income in the past 12 months below poverty level!!In family households!!In other families!!Female householder, no husband present!!Non-relatives",
"B17021_013M","Margin of Error!!Total!!Income in the past 12 months below poverty level!!In family households!!In other families!!Female householder, no husband present!!Non-relatives",
"B17021_014E","Estimate!!Total!!Income in the past 12 months below poverty level!!In non-family households and other living arrangement",
"B17021_014M","Margin of Error!!Total!!Income in the past 12 months below poverty level!!In non-family households and other living arrangement",
"B17021_015E","Estimate!!Total!!Income in the past 12 months below poverty level!!In non-family households and other living arrangement!!Householder",
"B17021_015M","Margin of Error!!Total!!Income in the past 12 months below poverty level!!In non-family households and other living arrangement!!Householder",
"B17021_016E","Estimate!!Total!!Income in the past 12 months below poverty level!!In non-family households and other living arrangement!!Householder!!Living alone",
"B17021_016M","Margin of Error!!Total!!Income in the past 12 months below poverty level!!In non-family households and other living arrangement!!Householder!!Living alone",
"B17021_017E","Estimate!!Total!!Income in the past 12 months below poverty level!!In non-family households and other living arrangement!!Householder!!Not living alone",
"B17021_017M","Margin of Error!!Total!!Income in the past 12 months below poverty level!!In non-family households and other living arrangement!!Householder!!Not living alone",
"B17021_018E","Estimate!!Total!!Income in the past 12 months below poverty level!!In non-family households and other living arrangement!!Other living arrangement",
"B17021_018M","Margin of Error!!Total!!Income in the past 12 months below poverty level!!In non-family households and other living arrangement!!Other living arrangement",
"B17021_019E","Estimate!!Total!!Income in the past 12 months at or above poverty level",
"B17021_019M","Margin of Error!!Total!!Income in the past 12 months at or above poverty level",
"B17021_020E","Estimate!!Total!!Income in the past 12 months at or above poverty level!!In family households",
"B17021_020M","Margin of Error!!Total!!Income in the past 12 months at or above poverty level!!In family households",
"B17021_021E","Estimate!!Total!!Income in the past 12 months at or above poverty level!!In family households!!In married couple families",
"B17021_021M","Margin of Error!!Total!!Income in the past 12 months at or above poverty level!!In family households!!In married couple families",
"B17021_022E","Estimate!!Total!!Income in the past 12 months at or above poverty level!!In family households!!In married couple families!!All relatives",
"B17021_022M","Margin of Error!!Total!!Income in the past 12 months at or above poverty level!!In family households!!In married couple families!!All relatives",
"B17021_023E","Estimate!!Total!!Income in the past 12 months at or above poverty level!!In family households!!In married couple families!!Non-relatives",
"B17021_023M","Margin of Error!!Total!!Income in the past 12 months at or above poverty level!!In family households!!In married couple families!!Non-relatives",
"B17021_024E","Estimate!!Total!!Income in the past 12 months at or above poverty level!!In family households!!In other families",
"B17021_024M","Margin of Error!!Total!!Income in the past 12 months at or above poverty level!!In family households!!In other families",
"B17021_025E","Estimate!!Total!!Income in the past 12 months at or above poverty level!!In family households!!In other families!!Male householder, no wife present",
"B17021_025M","Margin of Error!!Total!!Income in the past 12 months at or above poverty level!!In family households!!In other families!!Male householder, no wife present",
"B17021_026E","Estimate!!Total!!Income in the past 12 months at or above poverty level!!In family households!!In other families!!Male householder, no wife present!!All relatives",
"B17021_026M","Margin of Error!!Total!!Income in the past 12 months at or above poverty level!!In family households!!In other families!!Male householder, no wife present!!All relatives",
"B17021_027E","Estimate!!Total!!Income in the past 12 months at or above poverty level!!In family households!!In other families!!Male householder, no wife present!!Non-relatives",
"B17021_027M","Margin of Error!!Total!!Income in the past 12 months at or above poverty level!!In family households!!In other families!!Male householder, no wife present!!Non-relatives",
"B17021_028E","Estimate!!Total!!Income in the past 12 months at or above poverty level!!In family households!!In other families!!Female householder, no husband present",
"B17021_028M","Margin of Error!!Total!!Income in the past 12 months at or above poverty level!!In family households!!In other families!!Female householder, no husband present",
