"GEO_ID","NAME","B15003_001E","B15003_001M","B15003_002E","B15003_002M","B15003_003E","B15003_003M","B15003_004E","B15003_004M","B15003_005E","B15003_005M","B15003_006E","B15003_006M","B15003_007E","B15003_007M","B15003_008E","B15003_008M","B15003_009E","B15003_009M","B15003_010E","B15003_010M","B15003_011E","B15003_011M","B15003_012E","B15003_012M","B15003_013E","B15003_013M","B15003_014E","B15003_014M","B15003_015E","B15003_015M","B15003_016E","B15003_016M","B15003_017E","B15003_017M","B15003_018E","B15003_018M","B15003_019E","B15003_019M","B15003_020E","B15003_020M","B15003_021E","B15003_021M","B15003_022E","B15003_022M","B15003_023E","B15003_023M","B15003_024E","B15003_024M","B15003_025E","B15003_025M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!No schooling completed","Margin of Error!!Total!!No schooling completed","Estimate!!Total!!Nursery school","Margin of Error!!Total!!Nursery school","Estimate!!Total!!Kindergarten","Margin of Error!!Total!!Kindergarten","Estimate!!Total!!1st grade","Margin of Error!!Total!!1st grade","Estimate!!Total!!2nd grade","Margin of Error!!Total!!2nd grade","Estimate!!Total!!3rd grade","Margin of Error!!Total!!3rd grade","Estimate!!Total!!4th grade","Margin of Error!!Total!!4th grade","Estimate!!Total!!5th grade","Margin of Error!!Total!!5th grade","Estimate!!Total!!6th grade","Margin of Error!!Total!!6th grade","Estimate!!Total!!7th grade","Margin of Error!!Total!!7th grade","Estimate!!Total!!8th grade","Margin of Error!!Total!!8th grade","Estimate!!Total!!9th grade","Margin of Error!!Total!!9th grade","Estimate!!Total!!10th grade","Margin of Error!!Total!!10th grade","Estimate!!Total!!11th grade","Margin of Error!!Total!!11th grade","Estimate!!Total!!12th grade, no diploma","Margin of Error!!Total!!12th grade, no diploma","Estimate!!Total!!Regular high school diploma","Margin of Error!!Total!!Regular high school diploma","Estimate!!Total!!GED or alternative credential","Margin of Error!!Total!!GED or alternative credential","Estimate!!Total!!Some college, less than 1 year","Margin of Error!!Total!!Some college, less than 1 year","Estimate!!Total!!Some college, 1 or more years, no degree","Margin of Error!!Total!!Some college, 1 or more years, no degree","Estimate!!Total!!Associate's degree","Margin of Error!!Total!!Associate's degree","Estimate!!Total!!Bachelor's degree","Margin of Error!!Total!!Bachelor's degree","Estimate!!Total!!Master's degree","Margin of Error!!Total!!Master's degree","Estimate!!Total!!Professional school degree","Margin of Error!!Total!!Professional school degree","Estimate!!Total!!Doctorate degree","Margin of Error!!Total!!Doctorate degree"
"1500000US390610210032","Block Group 2, Census Tract 210.03, Hamilton County, Ohio","660","101","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","8","13","0","11","0","11","0","11","20","22","239","81","18","21","28","22","104","49","122","55","95","58","15","17","11","17","0","11"
"1500000US390610057023","Block Group 3, Census Tract 57.02, Hamilton County, Ohio","937","237","0","11","0","11","0","11","42","67","0","11","0","11","0","11","0","11","80","120","0","11","0","11","0","11","34","37","23","37","56","63","126","99","2","6","15","22","31","25","159","122","212","123","105","94","52","54","0","11"
"1500000US390610046021","Block Group 1, Census Tract 46.02, Hamilton County, Ohio","1684","221","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","162","87","19","30","49","48","129","96","157","108","823","225","296","130","30","39","19","32"
"1500000US390610082012","Block Group 2, Census Tract 82.01, Hamilton County, Ohio","1519","190","1","2","0","11","0","11","0","11","0","11","0","11","0","11","0","11","1","2","0","11","0","11","10","17","36","35","78","46","20","32","407","158","78","61","73","43","251","83","138","77","287","106","100","64","31","30","8","14"
"1500000US390610082022","Block Group 2, Census Tract 82.02, Hamilton County, Ohio","739","175","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","5","11","4","10","5","11","16","19","21","23","248","101","0","11","32","37","86","61","48","35","180","144","64","72","26","42","4","9"
"1500000US390610222003","Block Group 3, Census Tract 222, Hamilton County, Ohio","2119","410","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","35","54","111","102","22","36","0","11","304","156","74","72","209","118","280","146","181","171","461","199","384","197","14","23","44","44"
"1500000US390610058002","Block Group 2, Census Tract 58, Hamilton County, Ohio","540","214","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","17","31","94","85","0","11","10","19","169","167","84","105","83","77","50","62","2","15","31","48"
"1500000US390610241002","Block Group 2, Census Tract 241, Hamilton County, Ohio","703","213","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","24","38","0","11","0","11","0","11","0","11","0","11","0","11","53","50","0","11","30","48","30","34","20","32","318","172","150","81","65","56","13","20"
"1500000US390610065002","Block Group 2, Census Tract 65, Hamilton County, Ohio","50","46","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","12","18","0","11","24","30","12","20","0","11","2","12"
