"GEO_ID","NAME","B19001_001E","B19001_001M","B19001_002E","B19001_002M","B19001_003E","B19001_003M","B19001_004E","B19001_004M","B19001_005E","B19001_005M","B19001_006E","B19001_006M","B19001_007E","B19001_007M","B19001_008E","B19001_008M","B19001_009E","B19001_009M","B19001_010E","B19001_010M","B19001_011E","B19001_011M","B19001_012E","B19001_012M","B19001_013E","B19001_013M","B19001_014E","B19001_014M","B19001_015E","B19001_015M","B19001_016E","B19001_016M","B19001_017E","B19001_017M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Less than $10,000","Margin of Error!!Total!!Less than $10,000","Estimate!!Total!!$10,000 to $14,999","Margin of Error!!Total!!$10,000 to $14,999","Estimate!!Total!!$15,000 to $19,999","Margin of Error!!Total!!$15,000 to $19,999","Estimate!!Total!!$20,000 to $24,999","Margin of Error!!Total!!$20,000 to $24,999","Estimate!!Total!!$25,000 to $29,999","Margin of Error!!Total!!$25,000 to $29,999","Estimate!!Total!!$30,000 to $34,999","Margin of Error!!Total!!$30,000 to $34,999","Estimate!!Total!!$35,000 to $39,999","Margin of Error!!Total!!$35,000 to $39,999","Estimate!!Total!!$40,000 to $44,999","Margin of Error!!Total!!$40,000 to $44,999","Estimate!!Total!!$45,000 to $49,999","Margin of Error!!Total!!$45,000 to $49,999","Estimate!!Total!!$50,000 to $59,999","Margin of Error!!Total!!$50,000 to $59,999","Estimate!!Total!!$60,000 to $74,999","Margin of Error!!Total!!$60,000 to $74,999","Estimate!!Total!!$75,000 to $99,999","Margin of Error!!Total!!$75,000 to $99,999","Estimate!!Total!!$100,000 to $124,999","Margin of Error!!Total!!$100,000 to $124,999","Estimate!!Total!!$125,000 to $149,999","Margin of Error!!Total!!$125,000 to $149,999","Estimate!!Total!!$150,000 to $199,999","Margin of Error!!Total!!$150,000 to $199,999","Estimate!!Total!!$200,000 or more","Margin of Error!!Total!!$200,000 or more"
"1500000US390610016001","Block Group 1, Census Tract 16, Hamilton County, Ohio","265","64","60","33","32","30","16","23","38","39","57","27","14","23","4","6","0","11","6","9","4","7","0","11","12","2","0","11","22","19","0","11","0","11"
"1500000US390610010001","Block Group 1, Census Tract 10, Hamilton County, Ohio","344","77","58","41","46","37","0","11","42","35","0","11","0","11","5","8","8","11","5","9","58","40","23","17","58","44","8","11","21","17","12","15","0","11"
"1500000US390610010002","Block Group 2, Census Tract 10, Hamilton County, Ohio","511","86","0","11","0","11","23","19","35","29","28","20","16","18","13","14","26","20","27","21","26","35","43","39","56","37","43","25","48","39","51","31","76","35"
"1500000US390610020001","Block Group 1, Census Tract 20, Hamilton County, Ohio","329","56","13","20","20","24","14","15","0","11","31","27","38","34","11","13","13","12","11","11","7","9","70","32","34","21","5","7","12","12","4","6","46","18"
"1500000US390610020002","Block Group 2, Census Tract 20, Hamilton County, Ohio","687","75","57","37","5","7","5","8","10","10","19","22","49","34","28","17","34","28","11","12","81","44","100","46","92","38","83","34","36","27","40","21","37","22"
"1500000US390610032001","Block Group 1, Census Tract 32, Hamilton County, Ohio","704","55","210","52","58","34","53","34","53","37","33","23","31","19","16","13","20","16","13","11","47","24","44","27","84","40","15","13","0","11","23","21","4","7"
"1500000US390610022002","Block Group 2, Census Tract 22, Hamilton County, Ohio","221","85","53","43","0","11","34","52","0","11","27","43","34","34","14","21","32","30","10","16","0","11","0","11","0","11","0","11","17","26","0","11","0","11"
"1500000US390610022003","Block Group 3, Census Tract 22, Hamilton County, Ohio","490","116","86","56","78","64","46","41","113","74","0","11","30","49","0","11","0","11","18","27","24","23","43","45","17","22","0","11","9","16","26","27","0","11"
"1500000US390610022001","Block Group 1, Census Tract 22, Hamilton County, Ohio","314","86","15","23","51","42","23","25","36","30","7","11","53","57","56","63","7","13","0","11","0","11","5","11","49","33","0","11","12","22","0","11","0","11"
"1500000US390610206013","Block Group 3, Census Tract 206.01, Hamilton County, Ohio","1288","126","28","33","0","11","33","39","0","11","62","50","80","52","48","44","66","53","36","42","140","106","85","61","194","82","273","142","82","57","104","63","57","44"
"1500000US390610206012","Block Group 2, Census Tract 206.01, Hamilton County, Ohio","600","86","12","19","0","11","0","11","16","26","14","23","30","35","11","19","44","41","42","45","56","43","46","45","84","54","0","11","88","78","54","45","103","69"
"1500000US390610206011","Block Group 1, Census Tract 206.01, Hamilton County, Ohio","605","93","60","70","0","11","44","43","15","25","63","77","61","52","0","11","15","26","16","25","0","11","43","40","33","39","42","47","106","67","40","38","67","56"
"1500000US390610207072","Block Group 2, Census Tract 207.07, Hamilton County, Ohio","929","100","30","34","17","26","0","11","30","33","18","28","63","54","31","36","15","22","31","35","27","31","38","37","164","80","131","71","65","41","58","50","211","83"
"1500000US390610207071","Block Group 1, Census Tract 207.07, Hamilton County, Ohio","520","68","0","11","33","39","38","42","37","42","15","23","19","23","46","24","20","30","0","11","60","51","31","35","29","35","63","50","54","44","65","46","10","18"
"1500000US390610210012","Block Group 2, Census Tract 210.01, Hamilton County, Ohio","780","68","10","16","17","21","20","22","17","20","29","26","71","47","21","16","29","38","46","33","62","37","145","62","176","59","61","54","40","31","27","25","9","15"
"1500000US390610212022","Block Group 2, Census Tract 212.02, Hamilton County, Ohio","369","79","12","19","0","11","13","20","14","22","13","21","53","67","0","11","14","22","13","20","57","47","85","58","40","39","27","31","28","31","0","11","0","11"
"1500000US390610212023","Block Group 3, Census Tract 212.02, Hamilton County, Ohio","505","105","15","25","26","30","26","30","12","19","0","11","53","63","40","38","27","30","0","11","15","25","114","100","42","40","94","93","15","24","14","23","12","21"
"1500000US390610212021","Block Group 1, Census Tract 212.02, Hamilton County, Ohio","603","92","28","32","42","40","29","32","0","11","13","21","26","29","0","11","0","11","15","25","13","22","69","71","178","95","109","56","13","21","41","37","27","30"
"1500000US390610215041","Block Group 1, Census Tract 215.04, Hamilton County, Ohio","627","212","0","11","0","11","113","150","0","11","163","131","58","74","0","11","17","26","16","26","79","107","55","67","41","49","38","63","0","11","34","46","13","22"
"1500000US390610215042","Block Group 2, Census Tract 215.04, Hamilton County, Ohio","503","162","15","24","25","42","0","11","59","94","48","62","19","30","85","121","0","11","44","49","47","72","23","38","99","89","21","34","0","11","0","11","18","30"
